sample_id,scene,frame_index,timestamp,issue_count,issues
0,data_20260910_061820,0,178902110124,0,
1,data_20260910_061820,157,178902111694,0,
2,data_20260910_061820,315,178902113274,0,
3,data_20260910_061820,472,178902114844,0,
4,data_20260910_061820,630,178902116424,0,
5,data_20260910_061820,787,178902117994,0,
6,data_20260910_061820,945,178902119574,0,
7,data_20260910_061820,1102,178902121144,0,
8,data_20260910_061820,1260,178902122724,0,
9,data_20260910_061820,1417,178902124294,0,
10,data_20260910_061820,1575,178902125874,0,
11,data_20260910_061820,1732,178902127444,0,
12,data_20260910_061820,1890,178902129024,0,
13,data_20260910_061820,2047,178902130594,0,
14,data_20260910_061820,2205,178902132174,0,
15,data_20260910_061820,2362,178902133744,0,
16,data_20260910_061820,2520,178902135324,0,
17,data_20260910_061820,2677,178902136894,0,
18,data_20260910_061820,2835,178902138474,0,
19,data_20260910_061820,2992,178902140044,0,
20,data_20260910_062659,0,178902161984,0,
21,data_20260910_062659,156,178902163544,0,
22,data_20260910_062659,313,178902165114,0,
23,data_20260910_062659,469,178902166674,0,
24,data_20260910_062659,625,178902168234,0,
25,data_20260910_062659,782,178902169804,0,
26,data_20260910_062659,938,178902171364,0,
27,data_20260910_062659,1094,178902172924,0,
28,data_20260910_062659,1251,178902174494,0,
29,data_20260910_062659,1407,178902176054,0,
30,data_20260910_062659,1563,178902177614,0,
31,data_20260910_062659,1719,178902179174,0,
32,data_20260910_062659,1876,178902180744,0,
33,data_20260910_062659,2032,178902182304,0,
34,data_20260910_062659,2188,178902183864,0,
35,data_20260910_062659,2345,178902185434,0,
36,data_20260910_062659,2501,178902186994,0,
37,data_20260910_062659,2657,178902188554,0,
38,data_20260910_062659,2814,178902190124,0,
39,data_20260910_062659,2970,178902191684,0,
40,data_20260910_063822,0,178902230335,0,
41,data_20260910_063822,156,178902231894,0,
42,data_20260910_063822,313,178902233465,0,
43,data_20260910_063822,469,178902235025,0,
44,data_20260910_063822,625,178902236585,0,
45,data_20260910_063822,781,178902238145,0,
46,data_20260910_063822,938,178902239715,0,
47,data_20260910_063822,1094,178902241275,0,
48,data_20260910_063822,1250,178902242835,0,
49,data_20260910_063822,1406,178902244395,0,
50,data_20260910_063822,1563,178902245965,0,
51,data_20260910_063822,1719,178902247525,0,
52,data_20260910_063822,1875,178902249085,0,
53,data_20260910_063822,2031,178902250645,0,
54,data_20260910_063822,2188,178902252215,0,
55,data_20260910_063822,2344,178902253775,0,
56,data_20260910_063822,2500,178902255335,0,
57,data_20260910_063822,2656,178902256895,0,
58,data_20260910_063822,2813,178902258465,0,
59,data_20260910_063822,2969,178902260025,0,
60,data_20260910_064331,0,178902261245,0,
61,data_20260910_064331,156,178902262805,0,
62,data_20260910_064331,313,178902264375,0,
63,data_20260910_064331,469,178902265935,0,
64,data_20260910_064331,625,178902267495,0,
65,data_20260910_064331,781,178902269055,0,
66,data_20260910_064331,938,178902270625,0,
67,data_20260910_064331,1094,178902272185,0,
68,data_20260910_064331,1250,178902273745,0,
69,data_20260910_064331,1406,178902275305,0,
70,data_20260910_064331,1563,178902276875,0,
71,data_20260910_064331,1719,178902278435,0,
72,data_20260910_064331,1875,178902279995,0,
73,data_20260910_064331,2031,178902281555,0,
74,data_20260910_064331,2188,178902283125,0,
75,data_20260910_064331,2344,178902284685,0,
76,data_20260910_064331,2500,178902286245,0,
77,data_20260910_064331,2656,178902287805,0,
78,data_20260910_064331,2813,178902289375,0,
79,data_20260910_064331,2969,178902290935,0,
80,data_20260910_073823,0,178902590436,0,
81,data_20260910_073823,156,178902591996,0,
82,data_20260910_073823,313,178902593566,0,
83,data_20260910_073823,469,178902595126,0,
84,data_20260910_073823,625,178902596686,0,
85,data_20260910_073823,782,178902598256,0,
86,data_20260910_073823,938,178902599816,0,
87,data_20260910_073823,1094,178902601376,0,
88,data_20260910_073823,1251,178902602946,0,
89,data_20260910_073823,1407,178902604506,0,
90,data_20260910_073823,1563,178902606066,0,
91,data_20260910_073823,1719,178902607626,0,
92,data_20260910_073823,1876,178902609196,0,
93,data_20260910_073823,2032,178902610756,0,
94,data_20260910_073823,2188,178902612316,0,
95,data_20260910_073823,2345,178902613886,0,
96,data_20260910_073823,2501,178902615446,0,
97,data_20260910_073823,2657,178902617006,0,
98,data_20260910_073823,2814,178902618576,0,
99,data_20260910_073823,2970,178902620136,0,
100,data_20260910_074912,0,178902655246,0,
101,data_20260910_074912,156,178902656806,0,
102,data_20260910_074912,313,178902658376,0,
103,data_20260910_074912,469,178902659936,0,
104,data_20260910_074912,625,178902661496,0,
105,data_20260910_074912,781,178902663056,0,
106,data_20260910_074912,938,178902664626,0,
107,data_20260910_074912,1094,178902666186,0,
108,data_20260910_074912,1250,178902667746,0,
109,data_20260910_074912,1406,178902669306,0,
110,data_20260910_074912,1563,178902670876,0,
111,data_20260910_074912,1719,178902672436,0,
112,data_20260910_074912,1875,178902673996,0,
113,data_20260910_074912,2031,178902675556,0,
114,data_20260910_074912,2188,178902677126,0,
115,data_20260910_074912,2344,178902678686,0,
116,data_20260910_074912,2500,178902680246,0,
117,data_20260910_074912,2656,178902681806,0,
118,data_20260910_074912,2813,178902683376,0,
119,data_20260910_074912,2969,178902684936,0,
